rollout_id,category,level,classifier_family,verdict,note
d29a9e16a4e2,Camera Viewpoints,5,manipulation,,
13880e06852b,Camera Viewpoints,5,visual_grounding+manipulation,,
ed6c2190461b,Camera Viewpoints,5,spatial_reasoning+manipulation,,
be418016a82f,Camera Viewpoints,5,manipulation,,
969cb98e1943,Camera Viewpoints,5,visual_grounding+spatial_reasoning+manipulation,,
d8d5c4d1524d,Camera Viewpoints,5,visual_grounding+manipulation,,
c4ee59730c27,Camera Viewpoints,5,manipulation,,
e5d268b4ce95,Language Instructions,5,visual_grounding+manipulation,,
77cdb097da48,Language Instructions,5,visual_grounding+manipulation,,
eea44d73b031,Language Instructions,5,visual_grounding+manipulation,,
2e78de48d26b,Language Instructions,5,visual_grounding+manipulation,,
9c4acaa63dbd,Language Instructions,5,visual_grounding+manipulation,,
f055fbc1fd29,Language Instructions,5,visual_grounding+manipulation,,
8116da46323c,Objects Layout,5,manipulation,,
d5eefd6ca55f,Objects Layout,5,manipulation,,
d181763116b1,Objects Layout,5,visual_grounding+manipulation,,
e5f4476b9a80,Objects Layout,5,visual_grounding+manipulation,,
ef3b92ed1e48,Objects Layout,5,visual_grounding+manipulation,,
f0ec0f667e64,Objects Layout,5,visual_grounding+manipulation,,
8bbc3845b53f,Objects Layout,5,visual_grounding+manipulation,,
9566b675046e,Objects Layout,5,manipulation,,
ca22568bc9fe,Objects Layout,5,manipulation,,
8f27817e6e56,Objects Layout,5,manipulation,,
bd8eb583a4e3,Objects Layout,5,visual_grounding+spatial_reasoning+manipulation,,
94c9f0cf6378,Objects Layout,5,manipulation,,
5115b970e766,Robot Initial States,5,visual_grounding+manipulation,,
0376682697fb,Robot Initial States,5,visual_grounding+manipulation,,
51820f1dd136,Robot Initial States,5,visual_grounding+manipulation,,
550e57403a39,Robot Initial States,5,visual_grounding+manipulation,,
fbba23c7c08d,Robot Initial States,5,manipulation,,
39a89c440d8d,Robot Initial States,5,visual_grounding+manipulation,,
ed9afbfee053,Robot Initial States,5,visual_grounding+spatial_reasoning+manipulation,,
f6d044fcebc4,Robot Initial States,5,visual_grounding+spatial_reasoning+manipulation,,
9da2053ea43d,Robot Initial States,5,manipulation,,
c4587fd631b2,Robot Initial States,5,visual_grounding+manipulation,,
e73a888c29d1,Robot Initial States,5,visual_grounding+manipulation,,
33c04cbad8d2,Robot Initial States,5,visual_grounding+manipulation,,
34da5db22cda,Robot Initial States,5,visual_grounding+manipulation,,
dce6c8770dfc,Robot Initial States,5,visual_grounding+manipulation,,
6ca3669e8852,Robot Initial States,5,visual_grounding+manipulation,,
07ff0d534384,Robot Initial States,5,visual_grounding+manipulation,,
b66fc5522a92,Robot Initial States,5,visual_grounding+manipulation,,
c87a4bb2bcaf,Robot Initial States,5,manipulation,,
f88154d81d9d,Robot Initial States,5,manipulation,,
f6ab8072ac19,Robot Initial States,5,visual_grounding+spatial_reasoning+manipulation,,
c10475062716,Robot Initial States,5,visual_grounding+manipulation,,
9b8857336223,Robot Initial States,5,visual_grounding+manipulation,,
e913b1f081e9,Robot Initial States,5,visual_grounding+spatial_reasoning+manipulation,,
caa69d28554e,Robot Initial States,5,visual_grounding+spatial_reasoning+manipulation,,
b7d04f12ee52,Robot Initial States,5,visual_grounding+manipulation,,
a50d1ee8e2a5,Robot Initial States,5,visual_grounding+manipulation,,
a7cdaf9d3575,Robot Initial States,5,visual_grounding+manipulation,,
dd282f06ad92,Robot Initial States,5,visual_grounding+manipulation,,
f4099c52706b,Robot Initial States,5,visual_grounding+manipulation,,
2509c292493c,Robot Initial States,5,visual_grounding+manipulation,,
f756924e2e65,Robot Initial States,5,visual_grounding+manipulation,,
082102dcc323,Robot Initial States,5,visual_grounding+manipulation,,
8ac91be1d608,Robot Initial States,5,visual_grounding+manipulation,,
bc76bdf2b4c8,Robot Initial States,5,visual_grounding+manipulation,,
b14ad4b5cc2d,Robot Initial States,5,visual_grounding+manipulation,,
d53cdfb68123,Robot Initial States,5,visual_grounding+manipulation,,
3b65bd978160,Robot Initial States,5,visual_grounding+spatial_reasoning+manipulation,,
097c5ccdb3f0,Robot Initial States,5,visual_grounding+manipulation,,
e0495f5dd19f,Robot Initial States,5,visual_grounding+manipulation,,
5c2a6c4f6efb,Robot Initial States,5,visual_grounding+manipulation,,
097ecd8c867a,Robot Initial States,5,manipulation,,
3f179d39768c,Robot Initial States,5,visual_grounding+manipulation,,
16b6173d8930,Robot Initial States,5,visual_grounding+manipulation,,
7438b76352f5,Robot Initial States,5,visual_grounding+manipulation,,
abe2c303e92e,Robot Initial States,5,visual_grounding+manipulation,,
3935c34d2854,Robot Initial States,5,visual_grounding+manipulation,,
28644af05a32,Robot Initial States,5,visual_grounding+spatial_reasoning+manipulation,,
cf1f5419dd8b,Robot Initial States,5,visual_grounding+manipulation,,
cc3e02569102,Robot Initial States,5,visual_grounding+manipulation,,
57a1f8b0b8a4,Robot Initial States,5,visual_grounding+spatial_reasoning+manipulation,,
a2740d8cd53d,Robot Initial States,5,manipulation,,
e6087b54b69f,Robot Initial States,5,visual_grounding+manipulation,,
303faf4d80de,Robot Initial States,5,visual_grounding+manipulation,,
5481daf39cf9,Robot Initial States,5,manipulation,,
f1b17e6b55f4,Robot Initial States,4,visual_grounding+spatial_reasoning+manipulation,,
