rollout_id,category,level,classifier_family,verdict,note
8bfe3d6f0a4d,Background Textures,5,manipulation,,
900a7c42b754,Background Textures,4,ambiguous,,
3d008173cf5e,Camera Viewpoints,5,manipulation,,
cfc9a7b660f5,Camera Viewpoints,5,visual_grounding+manipulation,,
798d1fa9d2a9,Camera Viewpoints,5,visual_grounding+manipulation,,
17a814d7a034,Camera Viewpoints,5,visual_grounding+manipulation,,
bf1200c0b344,Camera Viewpoints,5,visual_grounding+manipulation,,
2ed337915b14,Camera Viewpoints,5,visual_grounding+manipulation,,
1efeb067fc09,Camera Viewpoints,5,visual_grounding+manipulation,,
73a3925049bf,Light Conditions,5,visual_grounding+manipulation,,
5f9d7853d34b,Light Conditions,5,visual_grounding+manipulation,,
dba6e6148ccb,Light Conditions,5,visual_grounding+planning,,
fbb3a5c1412e,Light Conditions,5,visual_grounding+manipulation,,
3f62be379354,Light Conditions,5,visual_grounding+manipulation,,
3397eb45b82c,Objects Layout,5,visual_grounding+planning,,
325069130340,Objects Layout,5,visual_grounding+manipulation,,
4f9c6f93b9c1,Objects Layout,5,visual_grounding+manipulation,,
4f8335208e47,Robot Initial States,5,visual_grounding+planning,,
05474657128e,Robot Initial States,5,manipulation,,
9fa34b348298,Robot Initial States,5,visual_grounding+spatial_reasoning+manipulation,,
51b1ed381b8c,Robot Initial States,4,ambiguous,,
d6450d548606,Sensor Noise,5,manipulation,,
1842472b8bed,Sensor Noise,5,visual_grounding+planning,,
9cc540e7a934,Sensor Noise,5,manipulation,,
